Nama Tanaman,Nama Ilmiah,Tahap Menanam,Detail Kegiatan,gambar,source
,,,"3. Pilihlah jenis biji yang sesuai.  
Anda dapat menanam tomat dari biji kering, biji segar, atau semaian biji yang dibeli dari toko berkebun. Biji yang dikeringkan atau segar memerlukan usaha lebih banyak, tetapi hasilnya bisa lebih menjanjikan. Menanam semaian biji adalah cara yang paling mudah. Anda perlu menyiapkan wadah atau pot yang cukup besar dan memiliki lubang.",,
,,,"4. Ketahui kapan Anda harus mulai menanam.
Untuk mendapatkan hasil terbaik dalam menanam tomat, Anda harus menanamnya pada waktu yang tepat setiap tahun. Tanaman tomat membutuhkan banyak sinar matahari, sehingga musim panas atau kemarau adalah waktu yang ideal untuk menanamnya. Anda sebaiknya mulai menanam tomat dua minggu setelah hujan berakhir atau dua minggu setelah hawa beku terakhir di negara empat musim. Jika Anda menyemai biji di dalam rumah, mulailah 6-8 minggu sebelum memindahkannya ke tanah. Anda dapat membeli termometer tanah untuk memeriksa suhu tanah di kebun Anda, sekitar 32 derajat Celsius adalah suhu yang ideal untuk menanam. Almanak petani sangat berguna untuk menentukan waktu yang tepat untuk menanam tomat, baik secara daring atau membeli yang sesuai untuk daerah Anda.",,
,,,,,
,,Tahap 2: mengerikan biji,"1. PIlihlah tomat yang baik
Biji dari tomat akan menghasilkan buah yang hampir identik dengan buah asalnya. Jika Anda ingin menanam tomat dari buah yang sangat lezat atau segar, potong dan simpanlah bijinya. Pastikan buah tomat dalam kondisi sehat, karena biji dari buah yang tidak sehat akan menghasilkan buah yang sama tidak sehatnya. Tunggu hingga buah tomat matang benar sebelum dipotong untuk disimpan.",,
,,,"2. Belah buah tomat tersebut. 
Untuk memotong buah tomat dan mengambil bijinya, gunakanlah pisau yang tajam untuk membelah buah tomat menjadi dua sepanjang garis tengahnya, sejajar dengan batang buahnya. Lakukan dengan alas talenan atau mangkuk agar Anda dapat dengan mudah menampung biji-biji dan air buahnya untuk disimpan.",,
,,,"3. Keluarkan bagian dalamnya dengan sendok. 
Gunakan sendok untuk mengeluarkan seluruh biji, air buah, dan daging buah tomat. Letakkan semuanya dalam sebuah mangkuk kecil atau cangkir.",,
,,,"4. Biarkan biji tomat terendam dalam sari tomat
Setelah Anda mengambil biji tomat, biji-biji tersebut perlu melalui proses fermentasi terlebih dahulu sebelum dikeringkan. Untuk melakukannya, Anda dapat meletakkan biji tomat di bawah sinar matahari dan membiarkannya terendam dalam sari tomat sendiri. Tutup wadah berisi biji dan daging tomat dengan plastik, dan buat beberapa lubang pada lapisan plastik agar udara bisa mengalir di dalam wadah. Tidak perlu menambahkan air ke biji dan daging tomat selama proses fermentasi.",,
,,,"5. Letakkan di bawah sinar matahari.
 Saat ini biji-biji tersebut memerlukan waktu untuk fermentasi. Letakkan wadah tertutup tadi di tempat yang hangat, paling baik di tepi jendela yang mendapatkan banyak sinar matahari. Letakkan di situ selama dua atau tiga hari.",,
,,,"6. Bilas biji-biji tersebut. 
Setelah beberapa hari, Anda akan melihat bahwa air dan daging buah telah membentuk endapan yang mengapung di atas air, dan biji-bijinya telah tenggelam ke dasar wadah. Saat ini sudah terjadi, buanglah endapan yang ada di bagian atas, lalu tuangkan biji-biji bersama air ke dalam saringan. Bilas dengan air hangat, dan pastikan semua biji benar-benar bersih.",,
,,,"7. Sterilkan biji tomat.

Mensterilkan biji tomat adalah langkah penting untuk membunuh penyakit dan bakteri yang mungkin tumbuh pada biji tersebut. Hal ini juga dapat membantu menguatkan tanaman sehingga dapat menghasilkan lebih banyak buah saat ditanam di luar. Rendam biji tomat dalam campuran 1 sendok makan (15 ml) cuka apel atau cairan pemutih dan 1 liter air selama 15 menit. Anda juga dapat mensterilkan biji tomat yang dibeli dari toko untuk memastikan bahwa biji tersebut bebas penyakit dan bakteri.",,
,,,"8. Keringkan biji-biji itu. 
Setelah dibilas, sedikit goncang-goncangkan saringan untuk sebisa mungin menghilangkan sisa air yang ada. Setelah itu taruh semua biji di atas baki yang telah dilapisi dengan saringan kopi atau kertas minyak. Letakkan di suatu tempat di mana baki tersebut tidak akan tersenggol atau terkena sinar matahari langsung, dengan suhu sekitar 21 derajat Celsius. Gunakan jari Anda untuk menggeser biji-biji tersebut sehari sekali, untuk mencegah mereka melekat satu sama lain atau lengket dengan kertas alasnya.",,
,,,"9. Periksa biji-biji tomat itu
Ketika semua biji telah kering sepenuhnya saat disentuh dan tidak lengket satu sama lain, mereka sudah siap digunakan. Berhati-hatilah untuk tidak terlalu dini mengakhiri pengeringan, karena jika biji-biji itu masih lembab, mereka dapat terkena lumut, jamur dan bakteri yang dapat merusak.",,
,,,"10. Simpan biji-biji tersebut
Setelah Anda selesai mengeringkannya, simpanlah biji-biji tersebut dalam amplop kertas sampai Anda akan menggunakannya. Jangan menyimpannya di dalam kantong atau wadah plastik, karena ia tidak memiliki ventilasi udara yang cukup dan cenderung menumbuhkan bakteri dan lumut pada biji-biji yang disimpan.
Pastikan untuk memberi label berisi jenis varietas tomat dan tahun penyimpanan setelah bijinya kering.",,
,,,,,
,,Tahap 3: menanam,"1. Tanamlah bijinya. 
Buatlah baris-baris di media tanam untuk menaruh biji. Setiap biji harus ditanam berjarak 5 cm dari biji yang lain. Tutupilah setiap biji dengan sedikit tanah media tanam yang dibuat meruncing ke atas, setelah itu sirami dengan sedikit air.
Jika Anda berencana untuk menanam lebih dari satu jenis biji, tanamlah masing-masing jenis dalam satu baris yang sama, dan berilah tanda pada setiap barisnya. Begitu biji mulai berkecambah, akan sangat sulit untuk membedakan masing-masing jenisnya.",,
,,,"2. Jaga pertumbuhan biji. 
Sirami baki tanam setiap hari, dan pastikan setiap biji memperoleh cahaya dan panas yang cukup. Taruhlah di tempat yang suhunya tidak akan turun hingga di bawah 21 derajat Celsius pada hari-hari yang paling dingin. Saat biji sudah berkecambah dan mulai membentuk daun sejati, ia sudah siap untuk dipindahkan. Biji-biji tersebut akan mulai memiliki calon daun pada usia satu minggu, tetapi mereka belum akan memiliki daun sejati hingga usia paling tidak satu bulan setelah berkecambah.",,
,,,"3. Persiapkan tanaman untuk ditanam di kebun. 
Sebelum menanam tanaman tomat di kebun, pastikan untuk mempersiapkan kondisinya terlebih dahulu. Jika tanaman tersebut tingginya lebih dari 15 cm, maka cabang paling bawah di sekeliling tanaman harus dipangkas menggunakan gunting taman. Namun, jika tingginya kurang dari 15 cm, tanaman tersebut siap untuk ditanam tanpa persiapan terlebih dahulu. Anda juga dapat memotong batang terpendek pada tanaman kecil agar dapat ditanam lebih dalam dan memperkuat sistem akarnya.",,
,,,"4. Pilih tempat yang tepat dikebun. 
Menemukan lokasi yang tepat di kebun atau pekarangan Anda untuk menanam tomat adalah langkah penting dari seluruh proses menanam. Tomat adalah tanaman yang butuh banyak sinar matahari yaitu 6-8 jam dalam sehari. Jika memungkinkan, pilihlah lokasi yang memiliki drainase bagus, karena air yang menggenang akan membuat tanaman tomat Anda menghasilkan buah yang kurang kuat pertumbuhannya, sekaligus memiliki rasa yang kurang tegas.",,
,,,"5. Buat lubang untuk menanam
Beri jarak antar lubang yang sesuai dengan bagaimana Anda akan menangani tanaman tersebut nantinya. Jika Anda berencana untuk memberikan kurungan atau tiang pada tanaman tomat, beri jarak 60-90 cm antar lubangnya. Jika Anda ingin supaya tanaman tomat merambat dia atas tanah, beri jarak yang lebih lebar yaitu 1,2 meter antar lubangnya. Gali lubang dengan kedalaman 20 cm sehingga seluruh gumpalan akar dan pangkal tanaman dapat tertanam.",,
,,,"6. Tambahkan unsur hara. 
Taburi dasar setiap lubang dengan satu sendok makan garam epsom untuk meningkatkan kadar magnesium, yang membantu pertumbuhan tanaman sehat. Pada tahap ini, Anda juga dapat menaburkan sedikit lebih banyak kompos.",,
,,,"7. Tanamlah tomat Anda
Pindahkan masing-masing tanaman tomat dari wadahnya ke dalam lubang yang sudah Anda buat. Tekan wadahnya untuk melepaskan tanah dan gumpalan akarnya, lalu keluarkan tanaman pelan-pelan dengan meletakkannya secara terbalik di atas tangan Anda. Masukkan masing-masing tanaman ke dalam lubang di tanah, tekan dengan mantap agar tidak ada gelembung udara. Urug dengan tanah hingga sedikit di bawah barisan cabang pertama.",,
,,,"8. Sirami tanaman Anda. 
Untuk menjaga kesehatan tanaman tomat, pastikan untuk menyiraminya setiap hari, tetapi jangan sampai terlalu banyak sehingga menggenang. Jika tanaman menerima lebih dari satu atau dua sendok makan air setiap hari, maka buah yang dihasilkan akan terasa berair dan encer. Jika Anda tidak memiliki waktu untuk menyiraminya secara rutin, pertimbangkan untuk memasang sistem penyiram atau sistem tetes air di kebun Anda. Anda dapat memasang alat atau slang penyiram otomatis untuk mempermudah perawatan tanaman.",,
,,,"9. Rawatlah tanaman tomat Anda.

Untuk menjaga kesehatan tanaman tomat, pastikan untuk memangkasnya secara berkala dan memanen buah yang dihasilkan. Gunakan gunting pangkas untuk memotong ranting kecil yang muncul dari percabangan ranting utama, serta ranting-ranting yang tersembunyi atau tertutup oleh bayang-bayang. Hal ini akan membantu tanaman tomat tumbuh lebih sehat dan menghasilkan buah yang lebih besar.",,
,,,"10. Panenlah tomat Anda.
panen tomat anda ketika sudah tumbuh dengan segar dan bagus",,
,,,,,
cabai,Capsicum frutescens,Tahap 1: Membuat Kecambah dari Biji Cabai,"1.Letakkan biji cabai di antara dua helai handuk kertas lembap. 
Basahi dua lembar handuk kertas. Tebarkan biji cabai pada salah satu handuk kertas dan tutup dengan helaian kedua di atasnya. Masukkan biji ke dalam kantong zip lock atau wadah plastik, lalu tutup rapat.",,https://id.wikihow.com/Menanam-Cabai-dari-Biji
,,,"2. Simpan biji di tempat hangat selama 2-5 hari. 
Pastikan suhu sekitar 23-30 °C agar biji bisa berkecambah. Taruh di tempat yang selalu hangat selama 2-5 hari sampai membengkak dan bertunas.",,
,,,"3. Siapkan nampan bibit dan isi dengan kompos atau tanah siap tanam.
 Tekan kompos sedalam 1-2 milimeter dan siram.",,
,,,"4. Sebarkan biji cabai di atas kompos atau tanah siap tanam sejauh masing-masing 5 cm.
Tutupi tipis-tipis dengan kompos. Pampatkan kompos dengan lembut dan semprotlah sedikit dengan air di dalam botol.",,
,,,"5. Tutupi biji cabai dengan plastik penutup 
hal ini untuk menahan panas dan kelembapan. Letakkan nampan di tempat hangat yang sama seperti sebelumnya.",,
,,,"6. Pantau pertumbuhan benih
Awasi benih dan pastikan kompos atau tanah siap tanam lembap, tetapi tidak becek. Biji akan mulai berkecambah setelah kira-kira dua minggu.",,
,,,,,
,,Tahap 2: pindah ke kebun,"1. Tanamlah cabai.
Pastikan juga untuk menyiram tanaman secara teratur dan memberikan pupuk yang cukup untuk mendukung pertumbuhannya. Jika ada hama atau penyakit yang menyerang tanaman, segera ambil tindakan untuk mengatasinya. Dengan perawatan yang tepat, cabai di kebun Anda akan tumbuh subur dan memberikan hasil panen yang melimpah.",,
,,,"2. Siram dan pupuki tanaman secara teratur.
Di daerah beriklim hangat dan terik, siramlah cabai setiap hari untuk menjaganya agar tetap terhidrasi. Jangan menyiram berlebihan. Pastikan tanah lembap, tetapi tidak becek. Pupuki tanaman dengan pupuk cair serbaguna (tersedia di toko tanaman) setiap dua minggu",,
,,,"3. Jaga agar tanaman tetap hangat.
Tanaman cabai hanya boleh dipindahkan ke luar ruangan di daerah beriklim hangat atau di tempat-tempat yang musim panasnya sangat lama. Untuk daerah bermusim panas lama, sebaiknya pindahkan cabai ke luar pada bulan Juni. Belilah sungkup atau kubah pelindung (penutup tanaman yang ditancapkan ke tanah di sekelilingnya) untuk melindungi tanaman dari cuaca dingin.",,
,,,,,
Bawang merah,Allium cepa,Tahap 1: Menyiapkan Penanaman,"1. Pilih jenis bawang merah yang ingin Anda tanam
Bawang merah memiliki tiga warna umum yaitu putih, kuning, dan merah/ungu. Ada dua jenis waktu tumbuh yaitu siang hari yang panjang dan siang hari yang pendek. Bawang merah siang hari yang panjang cocok untuk tumbuh di wilayah utara AS, sedangkan siang hari yang pendek cocok untuk wilayah selatan AS. Bawang kuning memiliki rasa yang sedikit manis, bawang putih memiliki rasa dan aroma yang lebih tajam, dan bawang merah sering dimakan segar.",,https://id.wikihow.com/Menanam-Bawang-Merah
,,,"2. Tentukan bagaimana Anda menanam bawang tersebut.
Bawang merah memiliki tiga warna umum yaitu putih, kuning, dan merah/ungu. Ada dua jenis waktu tumbuh yaitu siang hari yang panjang dan siang hari yang pendek. Bawang merah siang hari yang panjang cocok untuk tumbuh di wilayah utara AS, sedangkan siang hari yang pendek cocok untuk wilayah selatan AS. Bawang kuning memiliki rasa yang sedikit manis, bawang putih memiliki rasa dan aroma yang lebih tajam, dan bawang merah sering dimakan segar.",,
,,,"3. Ketahui kapan waktunya untuk menanam
Bawang juga membutuhkan tanah yang baik dan drainase yang baik. Tanah yang subur dan kaya akan nutrisi bisa membantu bawang tumbuh dengan baik. Pastikan untuk memberi mereka cukup air, tetapi jangan terlalu banyak karena terlalu banyak air bisa menyebabkan umbinya membusuk. Setelah bawang merah matang, mereka bisa disimpan di tempat yang sejuk dan kering untuk digunakan nanti. Bawang merah bisa digunakan dalam berbagai hidangan, termasuk saus, sup, dan tumisan.",,
,,,"4. Pilih lokasi yang ideal. 
Bawang tidak terlalu memilih tempat, tetapi butuh ruang yang lapang dan sinar matahari penuh. Pilih varietas bawang yang tepat untuk wilayah tempat Anda tinggal dan berikan pupuk tambahan secara teratur. Jangan terlalu sering memindahkan atau menggali umbi sebelum waktunya. Bawang bisa ditanam di dalam ruangan dengan pot yang cukup besar dan terkena sinar matahari langsung.",,
,,,"5. Siapkan tanahnya.
Untuk menyiapkan tanah untuk menanam bawang, sebaiknya mulai mengolah dan menambahkan pupuk di musim gugur. Jika tanah memiliki banyak batu, pasir, atau tanah liat, campurkan dengan tanah pot. Ujilah pH tanah dan tambahkan senyawa yang diperlukan agar pH tanah berada di kisaran 6-7,5. Setelah tanah disiapkan, buat bedengan dengan lebar 30-45 cm dan jarak antar bedengan 60-90 cm. Tanam biji atau bibit bawang setelah risiko beku berlalu. Pastikan untuk menyiram tanaman secara teratur dan memberikan pupuk tambahan setiap beberapa minggu.",,
,,,,,
,,Tahap 2: menanam bawang,"1. Siapkan tanahnya.
Untuk menanam bawang, olah tanah dengan kedalaman 15,2 cm dan tambahkan pupuk fosfor. Buat lubang tanam dengan jarak 10-15 cm dan kedalaman 2,5-5 cm. Pastikan bibit bawang ditanam dengan benar dan diberi ruang yang cukup. Selama pertumbuhan, berikan pupuk tambahan setiap beberapa minggu. Potong bunga bawang untuk mendorong pertumbuhan umbi yang lebih besar dan bersihkan gulma atau dedaunan yang tidak diinginkan. Panen bawang ketika mencapai ukuran yang diinginkan dan biarkan mengering sebelum disimpan di tempat yang sejuk dan kering.",,
,,,"2. Gali lubangnya.
anamlah umbi atau biji bawang dengan kedalaman tidak lebih dari 2,5 cm dari permukaan tanah; jika terlalu banyak umbi yang ditanam, pertumbuhan bawang akan berkurang dan menyempit. Tanamlah umbi bawang dengan jarak 10,2-15,2 cm, dan biji bawang dengan jarak 2,5-5,1 cm. Ketika bawang mulai tumbuh, Anda dapat memindahkan mereka dan memberi jarak tanam yang lebih jauh untuk meningkatkan ukuran pertumbuhan mereka.",,
,,,"3. Tanam bawangnya
Pastikan untuk menyiram tanaman secara teratur dan memberikan pupuk tambahan setiap beberapa minggu untuk membantu pertumbuhannya. Jika bawang mulai tumbuh bunga, potonglah bunga tersebut untuk mendorong pertumbuhan umbi yang lebih besar. Setelah bawang mencapai ukuran yang diinginkan, Anda bisa memanen umbinya. Potong tangkai bawang dan biarkan umbinya mengering selama beberapa hari sebelum disimpan di tempat yang sejuk dan kering. Dengan perawatan yang tepat, Anda bisa memperoleh bawang yang segar dan lezat dari kebun Anda sendiri.",,
,,,"4. Jagalah media tanam bawang Anda.
Anda juga dapat memotong daun bawang setiap kali Anda membutuhkannya, tetapi pastikan untuk tidak memotong lebih dari sepertiga dari daunnya agar tanaman tetap sehat dan dapat terus tumbuh dengan baik. Selain itu, pastikan untuk memanen bawang Anda pada waktu yang tepat, yaitu ketika daunnya mulai menguning dan layu. Gali bawang dengan hati-hati dan biarkan mereka mengering di bawah sinar matahari selama beberapa hari sebelum menyimpannya di tempat yang kering dan sejuk. Dengan mengikuti tips ini, Anda dapat menumbuhkan bawang yang sehat dan lezat di kebun Anda sendiri.",,
,,,"5. Panen bawang Anda
Jika Anda ingin menyimpan bawang Anda untuk jangka waktu yang lebih lama, Anda dapat mempertimbangkan untuk mengeringkannya dengan menggunakan oven atau pengering bawang. Namun, pastikan untuk mengikuti petunjuk pengeringan yang benar agar bawang Anda tidak terbakar atau menjadi terlalu kering. Selain itu, pastikan juga untuk menyimpan bawang Anda di tempat yang sejuk, kering, dan gelap untuk mempertahankan kualitasnya. Dengan mengikuti tips ini, Anda dapat menyimpan bawang Anda dengan baik dan menikmatinya dalam waktu yang lama.",,
,,,,,
